bulletin_month,category,country,final_action_date,date_of_filing,source
2022-10,EB-1,India,C,C,travel.state.gov
2022-11,EB-1,India,C,C,travel.state.gov
2022-12,EB-1,India,C,C,travel.state.gov
2023-01,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-02,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-03,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-04,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-05,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-06,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-07,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-08,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
2023-09,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
2023-10,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2023-11,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2023-12,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2024-01,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-02,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-03,EB-1,India,2020-10-01,2021-01-01,travel.state.gov
2024-04,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-05,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-06,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-07,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-08,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-09,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-10,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-11,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-12,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-01,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-02,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-03,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-04,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-05,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-06,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-07,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-08,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-09,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-10,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-11,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-12,EB-1,India,2022-03-15,2023-04-15,travel.state.gov
2026-01,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-02,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-03,EB-1,India,2023-03-01,2023-12-01,travel.state.gov
2026-04,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-05,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-06,EB-1,India,2022-12-15,2023-12-01,travel.state.gov
